name,published_at,status,url,validity,valid_from,valid_to,epoch_valid_from,epoch_valid_to,recently_added,address,latitude,longitude
"70. Grundschule „An der Südhöhe"" in Dresden",2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_70_GS_Dresden.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Südhöhe 31, 01217 Dresden, Deutschland",51.01896,13.74081
Ehrenfried-Walther-von-Tschirnhaus-Gymnasium Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_Ehrenfried_Walther_von_Tschirnhaus-GYM_ Dresden.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Bernhardstraße 18, 01069 Dresden, Deutschland",51.0368919,13.7239617
Grundschule Weißig „Hutbergschule“ in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_GS_Weissig_Hutbergschul_Dresden.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Hauptstraße 14, 01328 Dresden, Deutschland",51.059095,13.8852311
Gymnasium Dresden-Klotzsche in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_Gym Dresden_Klotzsche.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Karl-Marx-Straße 44, 01109 Dresden, Deutschland",51.11537,13.77292
Melli-Beese-Grundschule in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_MelliBeeseGS.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Marienallee 12, 01099 Dresden, Deutschland",51.0747907,13.769128
4. Grundschule Dresden „Am Rosengarten“ in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_4GSDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Löwenstraße 2, 01099 Dresden, Deutschland",51.0616237,13.7599201
47. Grundschule in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_47GrundschuleDresden.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Mockritzer Str. 19, 01219 Dresden, Deutschland",51.02384,13.76169
51. Grundschule Dresden „An den Platanen“ in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_51GrundschuleDresden.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Rosa-Menzer-Str. 24, 01309 Dresden, Deutschland",51.0467403,13.7895484
68. Grundschule „Am Heiligen Born“ in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_68GSDD.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Heiligenbornstraße 15, 01219 Dresden, Deutschland",51.01085,13.76417
"113. Grundschule Dresden ""Canaletto"" in Dresden",2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_113GSDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Georg-Nerlich-Straße 1, 01307 Dresden, Deutschland",51.04707,13.75923
"128. Oberschule ""Carola von Wasa"" in Dresden",2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_128OSDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Rudolf-Bergander-Ring 3, 01219 Dresden, Deutschland",51.02144,13.77875
129. Grundschule in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_129GrundschuleDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Otto-Dix-Ring 57, 01219 Dresden, Deutschland",51.0180995,13.7765949
139. Grundschule Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_139GrundschuleDresden.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Omsewitzer Ring 4, 01169 Dresden, Deutschland",51.04562,13.66737
147. Grundschule Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_147GSDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Döbelner Str. 6, 01129 Dresden, Deutschland",51.08945629999999,13.735059
"Förderzentrum Albert-Schweitzer-Schule, Schule zur Lernförderung in Dresden",2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_AlbertSchweitzerFZDD.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Georg-Palitzsch-Straße 42, 01239 Dresden, Deutschland",51.00183,13.79655
Kulturwerkschule in Dresden,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_KulturwerkschuleGSDD.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Leipziger Str. 240, 01139 Dresden, Deutschland",51.0848056,13.706335
"Grundschule Weißig ""Hutbergschule"" in Dresden",2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_GSWeissig.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Hauptstraße 14, 01328 Dresden, Deutschland",51.059095,13.8852311
68. Grundschule Dresden „Am Heiligen Born“ in Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_68GSDresden.pdf,17.01.2022 bis 21.01.2022,2022-01-17 00:00:00,2022-01-21 00:00:00,1642377600,1642723200,False,"Heiligenbornstraße 15, 01219 Dresden, Deutschland",51.01085,13.76417
81. Grundschule „Robert Weber“ in Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_14_81_Grundschule_Dresden.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Robert-Weber-Straße 5, 01187 Dresden, Deutschland",51.02424999999999,13.68951
