name,published_at,status,url,validity,valid_from,valid_to,epoch_valid_from,epoch_valid_to,recently_added,address,latitude,longitude
"32. Grundschule Dresden ""Sieben Schwaben"" in Dresden",2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_32_GS.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Hofmannstraße 34, 01277 Dresden, Deutschland",51.04249129999999,13.8124223
"82. Grundschule Dresden ""Am Königswald"" in Dresden",2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_82_GS_Dresden.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Gertrud-Caspari-Straße 9, 01109 Dresden, Deutschland",51.11458,13.78031
106. Grundschule Dresden in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_106GS.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Großenhainer Str. 187, 01129 Dresden, Deutschland",51.0907828,13.7210057
Berufliches Schulzentrum für Wirtschaft „Prof. Dr. Zeigner“ in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_BSZ_Zeigner_Dresden.pdf,11.12.2021 bis 21.12.2021,2021-12-11 00:00:00,2021-12-21 00:00:00,1639180800,1640044800.0,True,"Melanchthonstraße 9, 01099 Dresden, Deutschland",51.0609652,13.7536491
Gymnasium Bürgerwiese in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_GYM_Buergerwiese_Dresden.pdf,13.12.2021 bis 17.12.2021,2021-12-13 00:00:00,2021-12-17 00:00:00,1639353600,1639699200.0,True,"Parkstraße 4, 01069 Dresden, Deutschland",51.0386886,13.7444305
Gymnasium Dresden-Bühlau in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_Gymnasium_Dresden_Buehlau.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Quohrener Str. 12, 01324 Dresden, Deutschland",51.0599869,13.8553096
Kulturwerkschule Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_Kulturwerkschule_Dresden.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Maxim-Gorki-Straße 42, 01127 Dresden, Deutschland",51.0892073,13.7298744
Oberschule Pieschen in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_Oberschule_Dresden_Pieschen.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Robert-Matzke-Straße 14, 01127 Dresden, Deutschland",51.0803418,13.7216809
Private Ganztagsgrundschule der Privaten Schule IBB gGmbH Dresden in Dresden,2021-12-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2021_12_10_Privaten_Ganztagsgrundschule.pdf,11.12.2021 bis 17.12.2021,2021-12-11 00:00:00,2021-12-17 00:00:00,1639180800,1639699200.0,True,"Paul-Gerhardt-Straße 17, 01309 Dresden, Deutschland",51.0511379,13.7823623
62. Grundschule „Friedrich Schiller“ in Dresden,2021-12-10,Widerruf zur befristeten teilweisen Schließung,https://www.smk.sachsen.de/ppdf/2021_12_10_Widerruf_62_GS_Dresden.pdf,11.12.2021,2021-12-11 00:00:00,2021-12-11 00:00:00,1639180800,1639180800.0,True,"Pillnitzer Landstraße 38, 01326 Dresden, Deutschland",51.050468,13.819445
